"RowID","Date","Year","Location","IndicatorName","IndicatorValue","Notes"
"Baton Rouge, LAViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Baton Rouge, LA","Violent crime rate (per 100,000 population)","1265.0",""
"Memphis, TNViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Memphis, TN","Violent crime rate (per 100,000 population)","1809.0",""
"Miami, FLViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Miami, FL","Violent crime rate (per 100,000 population)","1189.0",""
"Nashville, TNViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Nashville, TN","Violent crime rate (per 100,000 population)","1141.0",""
"New Orleans, LAViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","New Orleans, LA","Violent crime rate (per 100,000 population)","777.0",""
"Oklahoma City, OKViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Oklahoma City, OK","Violent crime rate (per 100,000 population)","930.0",""
"Raleigh, NCViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Raleigh, NC","Violent crime rate (per 100,000 population)","493.0",""
"Tampa, FLViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Tampa, FL","Violent crime rate (per 100,000 population)","752.0",""
"Benchmark AverageViolent crime rate (per 100,000 population)2009","12/31/2009 12:00:00 AM","2009","Benchmark Average","Violent crime rate (per 100,000 population)","1091.0",""
"Atlanta, GAMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Atlanta, GA","Murder and nonnegligent manslaughter","93.0",""
"Baton Rouge, LAMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Baton Rouge, LA","Murder and nonnegligent manslaughter","69.0",""
"Memphis, TNMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Memphis, TN","Murder and nonnegligent manslaughter","89.0",""
"Miami, FLMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Miami, FL","Murder and nonnegligent manslaughter","68.0",""
"Nashville, TNMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Nashville, TN","Murder and nonnegligent manslaughter","55.0",""
"New Orleans, LAMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","New Orleans, LA","Murder and nonnegligent manslaughter","175.0",""
"Oklahoma City, OKMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Oklahoma City, OK","Murder and nonnegligent manslaughter","54.0",""
"Raleigh, NCMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Raleigh, NC","Murder and nonnegligent manslaughter","14.0",""
"Tampa, FLMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Tampa, FL","Murder and nonnegligent manslaughter","27.0",""
"Benchmark AverageMurder and nonnegligent manslaughter2010","12/31/2010 12:00:00 AM","2010","Benchmark Average","Murder and nonnegligent manslaughter","58.0",""
"Atlanta, GAProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Atlanta, GA","Property crime rate (per 100,000 population)","7333.0",""
"Baton Rouge, LAProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Baton Rouge, LA","Property crime rate (per 100,000 population)","5432.0",""
"Memphis, TNProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Memphis, TN","Property crime rate (per 100,000 population)","6520.0",""
"Miami, FLProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Miami, FL","Property crime rate (per 100,000 population)","5312.0",""
"Nashville, TNProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Nashville, TN","Property crime rate (per 100,000 population)","4998.0",""
"New Orleans, LAProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","New Orleans, LA","Property crime rate (per 100,000 population)","3678.0",""
"Oklahoma City, OKProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Oklahoma City, OK","Property crime rate (per 100,000 population)","5735.0",""
"Raleigh, NCProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Raleigh, NC","Property crime rate (per 100,000 population)","3217.0",""
"Tampa, FLProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Tampa, FL","Property crime rate (per 100,000 population)","3412.0",""
"Benchmark AverageProperty crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Benchmark Average","Property crime rate (per 100,000 population)","5245.0",""
"Atlanta, GAViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Atlanta, GA","Violent crime rate (per 100,000 population)","1369.0",""
"Baton Rouge, LAViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Baton Rouge, LA","Violent crime rate (per 100,000 population)","1104.0",""
"Memphis, TNViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Memphis, TN","Violent crime rate (per 100,000 population)","1608.0",""
"Miami, FLViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Miami, FL","Violent crime rate (per 100,000 population)","1221.0",""
"Nashville, TNViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Nashville, TN","Violent crime rate (per 100,000 population)","1124.0",""
"New Orleans, LAViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","New Orleans, LA","Violent crime rate (per 100,000 population)","754.0",""
"Oklahoma City, OKViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Oklahoma City, OK","Violent crime rate (per 100,000 population)","915.0",""
"Raleigh, NCViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Raleigh, NC","Violent crime rate (per 100,000 population)","431.0",""
"Tampa, FLViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Tampa, FL","Violent crime rate (per 100,000 population)","646.0",""
"Benchmark AverageViolent crime rate (per 100,000 population)2010","12/31/2010 12:00:00 AM","2010","Benchmark Average","Violent crime rate (per 100,000 population)","1052.0",""
"Atlanta, GAMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Atlanta, GA","Murder and nonnegligent manslaughter","88.0",""
"Baton Rouge, LAMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Baton Rouge, LA","Murder and nonnegligent manslaughter","64.0",""
"Memphis, TNMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Memphis, TN","Murder and nonnegligent manslaughter","117.0",""
"Miami, FLMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Miami, FL","Murder and nonnegligent manslaughter","68.0",""
"Nashville, TNMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Nashville, TN","Murder and nonnegligent manslaughter","50.0",""
"New Orleans, LAMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","New Orleans, LA","Murder and nonnegligent manslaughter","200.0",""
"Oklahoma City, OKMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Oklahoma City, OK","Murder and nonnegligent manslaughter","58.0",""
"Raleigh, NCMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Raleigh, NC","Murder and nonnegligent manslaughter","17.0",""
"Tampa, FLMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Tampa, FL","Murder and nonnegligent manslaughter","28.0",""
"Benchmark AverageMurder and nonnegligent manslaughter2011","12/31/2011 12:00:00 AM","2011","Benchmark Average","Murder and nonnegligent manslaughter","60.0",""
"Atlanta, GAProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Atlanta, GA","Property crime rate (per 100,000 population)","7084.0",""
"Baton Rouge, LAProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Baton Rouge, LA","Property crime rate (per 100,000 population)","5469.0",""
"Memphis, TNProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Memphis, TN","Property crime rate (per 100,000 population)","6489.0",""
"Miami, FLProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Miami, FL","Property crime rate (per 100,000 population)","5661.0",""
"Nashville, TNProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Nashville, TN","Property crime rate (per 100,000 population)","4774.0",""
"New Orleans, LAProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","New Orleans, LA","Property crime rate (per 100,000 population)","4039.0",""
"Oklahoma City, OKProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Oklahoma City, OK","Property crime rate (per 100,000 population)","5819.0",""
"Raleigh, NCProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Raleigh, NC","Property crime rate (per 100,000 population)","3238.0",""
"Tampa, FLProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Tampa, FL","Property crime rate (per 100,000 population)","3054.0",""
"Benchmark AverageProperty crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Benchmark Average","Property crime rate (per 100,000 population)","5199.0",""
"Atlanta, GAViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Atlanta, GA","Violent crime rate (per 100,000 population)","1433.0",""
"Baton Rouge, LAViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Baton Rouge, LA","Violent crime rate (per 100,000 population)","1066.0",""
"Memphis, TNViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Memphis, TN","Violent crime rate (per 100,000 population)","1584.0",""
"Miami, FLViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Miami, FL","Violent crime rate (per 100,000 population)","1198.0",""
"Nashville, TNViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Nashville, TN","Violent crime rate (per 100,000 population)","1181.0",""
"New Orleans, LAViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","New Orleans, LA","Violent crime rate (per 100,000 population)","792.0",""
"Oklahoma City, OKViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Oklahoma City, OK","Violent crime rate (per 100,000 population)","871.0",""
"Raleigh, NCViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Raleigh, NC","Violent crime rate (per 100,000 population)","422.0",""
"Tampa, FLViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Tampa, FL","Violent crime rate (per 100,000 population)","655.0",""
"Benchmark AverageViolent crime rate (per 100,000 population)2011","12/31/2011 12:00:00 AM","2011","Benchmark Average","Violent crime rate (per 100,000 population)","1051.0",""
"Atlanta, GAMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Atlanta, GA","Murder and nonnegligent manslaughter","83.0",""
"Baton Rouge, LAMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Baton Rouge, LA","Murder and nonnegligent manslaughter","66.0",""
"Memphis, TNMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Memphis, TN","Murder and nonnegligent manslaughter","133.0",""
"Miami, FLMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Miami, FL","Murder and nonnegligent manslaughter","69.0",""
"Nashville, TNMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Nashville, TN","Murder and nonnegligent manslaughter","62.0",""
"New Orleans, LAMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","New Orleans, LA","Murder and nonnegligent manslaughter","193.0",""
"Oklahoma City, OKMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Oklahoma City, OK","Murder and nonnegligent manslaughter","85.0",""
"Raleigh, NCMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Raleigh, NC","Murder and nonnegligent manslaughter","17.0",""
"Tampa, FLMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Tampa, FL","Murder and nonnegligent manslaughter","23.0",""
"Benchmark AverageMurder and nonnegligent manslaughter2012","12/31/2012 12:00:00 AM","2012","Benchmark Average","Murder and nonnegligent manslaughter","67.0",""
"Atlanta, GAProperty crime rate (per 100,000 population)2012","12/31/2012 12:00:00 AM","2012","Atlanta, GA","Property crime rate (per 100,000 population)","6534.0",""
"Baton Rouge, LAProperty crime rate (per 100,000 population)2012","12/31/2012 12:00:00 AM","2012","Baton Rouge, LA","Property crime rate (per 100,000 population)","5209.0",""
